Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Engineer,-1,"Position Overview:
LiveVox is a leading provider of cloud contact center and customer care solutions, managing more than 12 billion interactions annually. With 15+ years of pure cloud expertise, we empower effective channel of choice engagement strategies and enable our clients to excel in changing business environments. In the last several years, we expanded our best in class ‘4-clouds’ telephony platform into a comprehensive, omni-channel solution suite, including Workforce Optimization (WFO) and CRM. LiveVox is now the best-positioned solution for the $25 Billion midmarket and enterprise market, where customers are demanding a fully integrated, cloud-based, omni-channel customer care platform. We have over 450 employees globally and are rapidly growing in every department. Headquartered in San Francisco, our teams are located across the US, India, and Colombia. Come join our growing team! To learn more, visit LiveVox.com/Careers.
We are looking for front-end development engineers who are eager to use cutting edge development tools and techniques to deliver a best-in-class user experience.

In this position, you will work with your team lead to plan, design, build and execute new features on our SAAS platform. You will exploit our comprehensive CI environment and test harness, have an eye towards quality and insist on the highest standards.



We like to have fun, but at the same time, we’re serious about providing contact centers with an amazing platform in the cloud for running their services. We have strong and growing revenue and we’ve won a number of awards.

We:
LiveVox is proud to be an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires an accommodation, please let us know. We're always looking to bring smart, talented people with diverse backgrounds, interests, and experiences to join our team.",4.0,"LiveVox
4.0",Medellín,-1,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
Database Administrator 2,-1,"Position Overview: Database Administrator 2

As a Database Administrator 2 at LiveVox, you will be responsible for managing, protecting, operating, testing and maintaining our company's databases. We expect the candidate to embrace, implement and enhance the data management practices and policies at LiveVox. Hands-on proficiency with Linux, Shell Scripting, RMAN, SQL Plus, SQL Developer/Toad, PLSQL and Data Pump utilities (expdp and impdp) are essential to perform your regular job functions. You will be working alongside a global Database team located across 3 different time zones. Candidates should be able to develop a rapid understanding of our product portfolio and contribute to the reliability of our platform. Must work well within a global and remote team environment and have strong communication and documentation skills. A strong work ethic and ability to provide on-call 24x7x365 support on rotation are expected.

Essential Functions and Responsibilities",4.0,"LiveVox
4.0",Medellín,-1,501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
Data Engineer,-1,"Descripción de Cargo
Nombre del Cargo:

Data Engineer
Vicepresidencia y área:

DA Hub
Jefe Inmediato:
Cargo Jefe Inmediato:

DA Platform Head
Lugar de Trabajo (ciudad y país):

Bogotá, Colombia",4.1,"Experian
4.1",Bogotá,-1,10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),-1
Sr. Data Engineer,-1,"We're a global IT consulting company helping our clients operate at their best, constantly developing new and exciting solutions to fulfill our clients’ needs.

At TEAM we might not always have the right opening for you available. But we are always interested in meeting great new talent and getting them onboard ASAP. This is why we have created our Talent Pool system through which we will preapprove high potential candidates so that when the time is right, we can expedite our hiring process.

We believe that a great workplace connects talented people and challenging tasks. And that's our underlying principle. If you want to work at one of the best global companies and be surrounded by people who support, you and push for innovation — come work with us

Responsibilities:


Must have skills:",4.4,"TEAM International
4.4",Colombia,-1,201 to 500 Employees,1991,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Somos la consultora de tecnología que habilita la transformación digital de las organizaciones líderes de América Latina a través de soluciones basadas en la nube.

Requerimos para nuestro equipo de trabajo Data Engineer para proyecto.

Expertise en: Data Lake, BigData, Cloud Computing, GCP

Funciones:

1. Identificar las fuentes y repositorios de datos para definir sus estrategias de carga a cloud.

2. Explorar con el cliente su estrategia de carga de datos, volumetría, periodicidad y calidad de datos.

3. Diseñar el modelo de datos validado por el cliente y una estrategia de transformación en cloud o en tierra para maximizar sus beneficios.

4. Desarrollar las consultas y procedimientos necesarios para las vistas o reportes que el cliente requiere.

5. Presentar y sustentar la estrategia de ingesta, transformación, calidad y modelado de datos según lo requiera el cliente.

Herramientas
¡Si te encuentras interesado esperamos tu postulación!",3.4,"Xertica
3.4",Bogotá,-1,51 to 200 Employees,-1,Contract,-1,-1,Less than $1 million (USD),-1
Data Engineer,-1,"Company Description

Do you thrive on working at analyzing state-of-the-art deep learning algorithms? Do you have a passion for constructing automation pipelines? Are you highly organized and detail-oriented? Then keep reading:

Our team is currently seeking a highly productive, proactive, and organized individual who is passionate about financial analyses, project management, client service and is strong in analytical abilities to join our team.

Based in Costa Rica and Colombia and as part of Publicis Groupe, Prodigious Latin America provides digital production and development services, ranging from creative engineering to complex business digital solutions. Our business is designed to provide our clients with a reliable, high quality and cost-effective execution platform

Job Description
All your information will be kept confidential.",3.6,"Prodigious
3.6",Bogotá,-1,201 to 500 Employees,2011,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,-1
Data Engineer,-1,"¿Quienes somos?

Lulo Bank, primer banco digital de Colombia enfocado en revolucionar la industria financiera a nivel latam.

¿Qué harás?

El ingeniero de datos captura, transforma y almacena datos limpios, dejándolos listos para ser consumidos.

Asegurar los requisitos de datos que cumpliendo requerimientos de negocio y de calidad.

Evaluar datos:
Diseñar y desarrollar estructuras de datos e información.

Capturar datos y modificar programas para extraer información de las bases de datos de la compañía.

Interactuar con científicos de datos y traductores para comprender cómo deben presentarse los datos.

Mejorar la disponibilidad de datos, actuando como el link entre el equipo de TI y de analítica.

¿Qué buscamos?

Profesional en Ingeniería de Sistemas, Electrónica, o carreras afines.

+3 años de experiencia en análisis y preparación de datos, incluida una experiencia considerable en big data y datos no estructurados.

Programación Python avanzado, con conocimiento en spark.

Sólida experiencia en el desarrollo de bases de datos, con interés en poner en producción modelos de machine learning.

Aws avanzado deseable (S3 fundamental, EC2, sagemaker, SQS, RDS, Lambda).

Experiencia en desarrollo de bases de datos y manejo de archivos con información semiestructurada y no estructurada.",-1,Lulo Bank,Bogotá,-1,-1,-1,-1,-1,-1,-1,-1
Data Engineer,-1,"Be part of our PayU Team we are looking for our next Data Engineer who will be is tasked with overseeing the full life-cycle of the back-end development of the business' data warehouse, will be responsible for the development of ETL processes, do improvements in the current process, and design flows to scale database and performance administration.

Responsibilities
Provide day-to-day support of the data warehouse and troubleshoots existing procedures and processes.
Creates and supports the ETL in order to facilitate the accommodation of data into the warehouse using Airflow, Python, and other technologies.
Integration of various sources data, integration data warehouse with big data solutions/platform.",3.4,"PayU
3.4",Bogotá,-1,1001 to 5000 Employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Job Description:
We are looking for experienced data engineers for one of our portfolio companies. You will use various methods to transform raw data into useful data systems. For example, you’ll create algorithms and conduct statistical analysis. Overall, you’ll strive for efficiency by aligning data systems with business goals.

To succeed in this data engineering position, you should have strong analytical skills and the ability to combine data from different sources. Data engineer skills also include familiarity with several programming languages and knowledge of learning machine methods.
If you are detail-oriented, with excellent organizational skills and experience in this field, we’d like to hear from you.

What You Will be Doing:
- Create and maintain optimal data pipeline architecture across multiple data sources, including licensed and scraped data",3.1,"PayU
3.4",Medellín,-1,1 to 50 Employees,2018,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1
Data Engineering Advisor,-1,"Descripción - Externa

Función Principal: La principal responsabilidad es liderar los proyectos y equipos relacionados con la implementación y /o mejora de los sistemas de procesamiento de datos para el DA HUB de SPLatam.

Principales Funciones:
Diseño y seguimiento a los KPIs
Proponer el roadmap de mejoras sobre el enriquecimiento de los datos.
Proponer, diseñar e implementar mejoras desde el punto de vista del pipeline de los datos (Obtención de la fuente, ingesta, calidad del dato, disponibilización y generación de nuevos datos).
Calificaciones - Externas

Ingeniero de Sistemas, electrónico y afines.

Inglés avanzado (Mínimo B2).

Manejo de Proyectos, Manejo de equipos, Buena comunicación y relacionamiento, Capacidad de resolución de problemas, Recursividad y gusto por el autoaprendizaje.",4.1,"Experian
4.1",Bogotá,-1,10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),-1
