Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Engineer,-1,"Posição para trabalho presencial ou remoto

Temos um dos maiores bancos de dados da américa latina, portanto, se você busca desafios em Big Data com “B” maiúsculo, está no lugar certo.

Precisamos de você para desenvolver e manter o nosso pipeline de dados para o data-lake de Marketing Services, automatizar atividades de desenvolvimento, gerar novas variáveis para aplicação de modelos, construção de aplicações Batch e real time, evoluir KPIs e monitorias, atuar em processamentos complexos de dados e na melhoria continua dos processos.

Com Certeza Você Tem Que Ter
Sólidos conhecimentos e experiência no ecossistema Hadoop
Sólidos conhecimentos com Data Integration Spark e Kafka;
Conhecimentos avançados em linguagem de programação Java Spring e Scala;
Bons conhecimentos com HIVE, ATLAS, HBASE, SQOOP e demais tecnologias do framework;
Boas noções de AWS Cloud Computing;
Experiência na criação de pipeline de ingestão Batch/Real time e datasets para as áreas de negócio;
Experiência na construção de sistemas distribuídos de alto desempenho, resolvendo desafios de engenharia em larga escala (Spark/Kafka);
Experiência no desenvolvimento de aplicações de baixa latência e processos de monitoria;
Entendimentos em modernização do DW, Self-Service Data Preparation, Data-Lakes e outras abordagens atuais para informações corporativas;
Seria Muito Legal Se Você Tivesse
Conhecimento multi-cloud (Azure e/ou Google Cloud).
Certificações Cloud AWS Architect;
Conhecimento de negócio (Marketing, Marketing Digital e Redes Sociais);
Conhecimento estatístico.
Inglês nível avançado.
Inscreva-se!",4.1,"Experian
4.1",São Paulo,-1,10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD),-1
Data & Analytics Engineer,-1,"JOB PURPOSE AND IMPACT
The Data & Analytics Engineer will develop new insights and understanding of business performance based on data and statistical methods. We seek a professional who will analyze external market dynamics and other data sources to assess trends and provide insights and recommendations to management. KEY ACCOUNTABILITIES Contribute to developing information technology strategies, polices and plans. Translate business requirements into application requirements. Contribute to recommending solutions or improvements to business processes using new technology or alternative uses of existing technology. Contribute to identifying and analyzing business needs, gathering requirements and defining scope and objectives to make business decisions Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff. Other duties as assigned
MINIMUM QUALIFICATIONS Bachelor’s degree in a related field or equivalent experience Minimum of two years of related work experience 2+ years’ experience in SQL Scripting or related tools like Oracle, MySQL, other. Proven experience working with R doing Data migration and/or analysis Proven experience working with Tableau and/or Power BI Experience with Agile methodologies. Strong interpersonal skills; demonstrated ability to build trust and strong relationships Result orientation and ability to work in ambiguous situations where requirements are not clear, specifications not in detail etc. Strong conceptual strength, strategic thinking, problem solving, technical, and analytical skills. Demonstrated application of strong market awareness and customer focus. Ability to ask next level questions anticipating business inquiries and performing root cause analysis Experience in Alteryx solutions or other ETL tools considered as a big plus Other minimum qualifications may apply.",3.9,"Cargill
3.9",Brazil,-1,10000+ Employees,1865,Company - Private,Food Production,Agriculture & Forestry,$10+ billion (USD),-1
Data & Analytics Engineer,-1,"JOB PURPOSE AND IMPACT
The Data & Analytics Engineer will develop new insights and understanding of business performance based on data and statistical methods. We seek a professional who will analyze external market dynamics and other data sources to assess trends and provide insights and recommendations to management. KEY ACCOUNTABILITIES Contribute to developing information technology strategies, polices and plans. Translate business requirements into application requirements. Contribute to recommending solutions or improvements to business processes using new technology or alternative uses of existing technology. Contribute to identifying and analyzing business needs, gathering requirements and defining scope and objectives to make business decisions Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff. Other duties as assigned
MINIMUM QUALIFICATIONS Bachelor’s degree in a related field or equivalent experience Minimum of two years of related work experience 2+ years’ experience in SQL Scripting or related tools like Oracle, MySQL, other. Proven experience working with R doing Data migration and/or analysis Proven experience working with Tableau and/or Power BI Experience with Agile methodologies. Strong interpersonal skills; demonstrated ability to build trust and strong relationships Result orientation and ability to work in ambiguous situations where requirements are not clear, specifications not in detail etc. Strong conceptual strength, strategic thinking, problem solving, technical, and analytical skills. Demonstrated application of strong market awareness and customer focus. Ability to ask next level questions anticipating business inquiries and performing root cause analysis Experience in Alteryx solutions or other ETL tools considered as a big plus Other minimum qualifications may apply.",4.6,"Cargill
3.9",Brazil,-1,501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Platform Engineer,-1,"Quer fazer parte de uma das mais relevantes empresas 100% digitais do mercado brasileiro? Nós, da OLX Brasil, estamos de portas abertas para você.

Agora nós somos uma holding com duas business units (unidades de negócio): a OLX e o Zap+. Somamos nossa expertise em tech e produto para continuarmos desenvolvendo tecnologia feita em casa e nos tornando cada vez mais uma referência no segmento de anúncios online. Só nosso time de tecnologia conta com quase 400 pessoas com grandes desafios. Afinal, conectamos milhares de pessoas diariamente, com mais de 500 milhões de anúncios publicados todos os dias, que recebem mais de 70 milhões de visitas por mês.

Estamos de #PortasAbertas procurando uma Pessoa Data Platform Engineer para somar no nosso time de Analytics :)

Se você gosta de aprender e quer fazer parte desse desafio, essa oportunidade é a sua chance, Data Platform Engineer, nessa posição você vai somar no time de Analytics.

Temos uma cultura de dados descentralizada e sentimos muito orgulho da nossa stack que envolve as tecnologias Druid, Hadoop, Spark e Python!

No dia a dia você vai…
Manter uma plataforma que possibilite a todos do Grupo armazenarem seus dados, transformarem e disponibilizá-los para consumo, entregando dados relevantes para outras equipes e/ou para o usuário final;
Trabalhar sistemas altamente escaláveis, distribuídos, com alta disponibilidade, tolerante a falhas, com foco em processamento rápido e massivo;
Utilizar tecnologias atuais e Open Source;
Manter e desenvolver uma plataforma dados moderna.
E o que você precisa ter?
Experiência em AWS;
Conhecimentos em CI/CD;
Conhecimentos em Python e Java;
Conhecimentos em frameworks Big Data como Hive, Presto e Spark;
Conhecimentos em ambientes Linux;
Streaming de dados com Kafka;
Vivência com AirFlow;
Armazenamento e formatos de dados.
Temos dois escritórios: um no Rio de Janeiro, no bairro do Flamengo, e outro em São Paulo, no bairro da Consolação. Os dois ambientes são super descontraídos e refletem o nosso jeito leve de trabalhar. Ah! Com o cenário da pandemia, nossas pessoas estão trabalhando de forma remota. Mas abaixo, listamos benefícios que esperam por você no cenário presencial também.

Nossos benefícios são mais que compatíveis com o mercado, são compatíveis com o que você mais precisa! :)
Plano de Saúde e Plano Odontológico com inclusão de cônjuge e/ou dependentes;
Vale Refeição;
Vale Transporte de acordo com a utilização;
Seguro de Vida;
50% de pagamento no valor do Gympass;
Auxílio Creche;
PLR.
Mais sobre a OLX Brasil:

Para nossas oportunidades, não fazemos distinção de cor, nacionalidade, identidade de gênero, necessidades especiais… o que importa é ter as habilidades necessárias para cada função e ter garra para aproveitar os desafios e para aprender todos os dias. Aqui, damos espaço para você ser quem você é, sem julgamentos e preconceitos.

O nosso clima de trabalho é leve e descontraído. E sabe qual é o segredo? Somos gente do bem e nos respeitamos muito! Seja em home office ou nos nossos escritórios, sempre tem alguém gargalhando ou sorrindo, pronto para receber o outro de braços ou câmeras abertas.

Candidate-se e venha fazer parte dessa transformação com a gente! :)",4.3,"Grupo ZAP
4.6",São Paulo,-1,501 to 1000 Employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Data Engineer,-1,"Somos a maior rede de relacionamento do mercado de construção civil. Trabalhamos para conectar empresas líderes do setor com varejistas e profissionais de obra.

Nascemos em 2018, de uma parceria de três gigantes do mercado (Votorantim Cimentos, Gerdau e Tigre), e hoje contamos com mais de 21 empresas, mais de 150 mil lojistas, mais de 350 mil profissionais de obra, movimentamos mais de 6 bilhões de reais em nossa Loja Virtual em 2019, e crescemos mais a cada dia.

O nosso time é empreendedor e apaixonado pelo propósito: fortalecer o varejo de materiais de construção e transformar a vida dos profissionais que constroem sonhos! Nosso sonho é grande e a vontade de fazer mais é o que nos move!

Você fará parte do time de Tecnologia, da squad de Data Engineering.
O seu time é responsável por construir uma plataforma moderna analítica nomeada de Datahub. Um time novo, que foi criado exatamente para esse propósito.

O seu desafio será ajudar na construção desse plataforma, que servirá como self-service BI para atender as mais diversas demandas de negócio, dando liberdade e velocidade para que todos conheçam os dados da empresa.


Responsabilidades e atribuições
Desenvolver e manter os processos de ingestão de dados;
Modelar estruturas de dados do Data Lake (para consumo pelos times de Self Service BI/Analytics);
Desenvolver e manter os processos de tratamento e armazenamento de dados;
Desenvolver e manter os processos de controle e monitoramento do Data Lake.

Requisitos e qualificações
O que esperamos de você?
Proficiência em linguagem SQL;
Experiência com modelagem de dados para DW/Data Lake (estruturado/não estruturado);
Proficiência nas ferramentas do ecossistema Microsoft Azure (como Data Factory, Databricks, Synapse);
Capacidade e agilidade para resolver problemas (resolutivo);
Comunicação objetiva e habilidade para entender as necessidades das áreas de negócios (consultivo);
Criatividade e habilidade para criar soluções com foco em problema;
Você, do seu jeito! A #Juntos preza pela liberdade de sermos nós mesmos. Acreditamos que nossas diferenças são importantíssimas para que sejamos cada vez mais fortes, e a diversidade enriquece cada vez mais o nosso time forte, empático e divertido!

Informações adicionais
Nosso processo seletivo
Aqui no processo seletivo da #Juntos, valorizamos o aprendizado e o desenvolvimento conjunto. Acreditamos que temos muito a aprender e a ensinar, então levamos isto para todas as fases dessa jornada!

Benefícios de ser #Juntos
Por aqui você terá:
Remuneração variável;
Seguros de vida, odontológico e de saúde de primeira - saúde sempre em primeiro lugar!
Vale-refeição;
Vale-transporte ou subsídio do estacionamento;
Gympass – Academia e saúde do corpo onde você quiser!
Zenklub - Para você cuidar do seu bem-estar e saúde mental :)
Auxílio creche, para você cuidar do desenvolvimento de quem mais ama!
Sessões de Mindfulness semanais, para relaxar, desestressar e praticar a atenção plena;
Sabemos como se tornar mãe ou pai é marcante e queremos dar todo o apoio. A licença-maternidade é de 180 dias e a licença parental de 20 dias. O benefício também vale para papais e mamães que adotarem ou obtiverem a guarda judicial da criança e para casais homoafetivos. Além disso, também oferecemos auxílio-creche.

Diversidade e Inclusão
Acreditamos que a diversidade é enriquecedora. Por isso, incentivamos que as pessoas que trabalham aqui tenham a liberdade para ser quem são de verdade. Somos feitos de gente, e valorizamos a importância do toque mais pessoal de cada um para a construção de um time forte, empático e divertido!

Estamos em home office por período indeterminado",5.0,"Juntos Somos Mais
5.0",São Paulo,-1,51 to 200 Employees,2018,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Our teams are passionate about what they do. They believe in shaping a brighter future. Whether at our offices in the United States, Brazil or Mexico, we guarantee an inspiring work environment for talented people who want to be part of our award-winning team.

Guided by our purpose and core values, throughout history we have been awarded 12 times as a Great Place To Work and in 2019 we were recognized as one of the Best Places To Work according to Glassdoor.
During your day as a Data Engineer you will:
Translate business needs into data and analytics requirements, with attention to details;
Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective;
Analyze, tune, troubleshoot and support the data infrastructure ensuring the performance, integrity, and security of data;
Use sound agile development practices (testing and code reviewing, etc.) to develop and deliver data products
Mentor and level up other engineers and analysts;
As a Data Engineer you have:
Experience in GCP Data Stack - Dataflow, DataProc , BigQuery
Experience in orchestration tools like Airflow/Cloud Composer
Experience in developing pipelines using python
Experienced in real time messaging systems using Pub sub /Kafka
Experience in implementing CI/CD, error handling and monitoring for scalable pipelines
Experience in performing root cause analysis of production issues , performance tuning and optimization
As an e-Corean, you will have flexible benefits in a model that you will chose what’s the best for you:
Health, dental and life insurance;
Meal and/or Food allowance;
Private Pension Plan;
Financial Support for studies and day care center;
No Dress Code ;) be yourself, be your best;
Flexible work hours;
TV’s with videogames;
MacBook with customised setup (e.g, monitor, earphones/headsets, keyboard).
Somos um time de pessoas criativas e inovadoras, e contratamos sob igual oportunidade, independente de gênero, etnia, raça, religião ou orientação sexual.

Aqui na e-Core, todas as pessoas têm a chance de participar ativamente, possuem autonomia para contribuir com ideias e se desenvolverem não só profissionalmente, como pessoalmente também! Para ter certeza que estamos construindo um ambiente mais diversificado e inclusivo que reflita a verdade sobre a nossa cultura e os nossos objetivos sociais e profissionais, nós buscamos recrutar com um foco cada vez maior em representatividade.

Isso significa que, consideramos expressões de gênero, etnia, raça, religião, orientação sexual e outros marcadores de identidade como fatores que trazem uma riqueza gigantesca à nossa empresa, garantindo que não haja barreiras para recrutar talentos incríveis.

Para isso, pedimos que você compartilhe algumas informações adicionais para que possamos seguir os nossos objetivos e com cada vez mais esforços em recrutamento de diversidade e inclusão, essa pesquisa é totalmente opcional e voluntária. Responder ou não responder este formulário demográfico não impacta o seu processo de contratação. Os dados serão usados apenas para referências e criação de métricas para melhoria de processos internos.

Este questionário estará disponível na pagina de candidatura, você será redirecionado ao clicar em ""Apply for this Job"".",4.8,"Juntos Somos Mais
5.0",São Paulo,-1,201 to 500 Employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
Data Engineer,-1,"A posição de Data Engineer está em nosso time de Dados. O nosso maior desafio no momento é construir produtos que impactam a vida de milhões de estudantes. Essa pessoa será responsável por nos ajudar a fazer o melhor uso dos nossos dados para a tomada de decisões mais assertivas.


Responsabilidades e atribuições
Aqui na Passei Direto o aprendizado é constante. Contamos com a sua inquietude e colaboração para apoiar o time e suas principais responsabilidades serão:

Arquitetar e construir estruturas para BI, análise e ciência de dados, integrando dados de nossas várias fontes de dados;
Construir pipelines automatizados para processar e limpar dados;
Ser um especialista em nossos conjuntos de dados, entendendo seus pontos fortes e fracos;
Cuidar dos dados e métricas do PD, garantindo sua qualidade e visibilidade em toda a empresa;
Trabalhar em colaboração com cientistas de dados em análises avançadas para imaginar e construir soluções criativas para questões desafiadoras, na maioria das vezes com uma linha de visão clara de seu trabalho até o impacto no mundo real;
Trabalhar em projetos que abrangem várias áreas do PD (de Produto a Marketing e Conteúdo);
Experimentar novas técnicas e ferramentas analíticas.

Requisitos e qualificações
Acreditamos que o nosso time nos ajuda a fortalecer a nossa cultura, transformando para melhor a forma que trabalhamos e nos relacionamos na empresa. Para essa oportunidade, estamos buscando um profissional com as competências abaixo:

Ser muito bom em SQL e ter experiência com alguma linguagem de programação de alto nível (por exemplo, Python, R, Scala, Java);
Ter experiência com uma variedade de técnicas de engenharia de dados (ou seja, modelagem de dados, ETL, Data Warehouse, Data Lake) e ferramentas (ou seja, Hadoop, Spark);
Ser graduado em matemática, engenharia e/ou ciência da computação;
Solucionar problemas de forma criativa, criando novas abordagens para alcançar resultados;
Ser um entusiasta em aprender novas técnicas e tecnologias.

Informações adicionais
Algumas tecnologias que usamos :

AWS (EC2, S3, RDS, EMR, Glue, DMS, ECS);
R, Python;
MySQL;
Spark.

Local de trabalho: Botafogo, Rio de Janeiro - RJ, Brasil ou possibilidade de trabalho remoto.
Lembrando que, até dezembro de 2020, estamos todos remoto #FiqueEmCasa

“Se te oferecem um lugar em um foguete, não pergunte qual é o assento, apenas embarque.”
Sheryl Sandberg",4.8,"Passei Direto
4.8",Rio de Janeiro,-1,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"Olá,

Estamos com oportunidades abertas no nosso time de engenheiros para trabalhar com tecnologias relacionados a Big Data.

E tudo bem se você não conhece muito do assunto.

Se conhecer ou tiver experiência no ecossistema Hadoop, melhor ainda.

Interessado? Venha conversar com a gente.

Conhecimento Desejável:

Hadoop. MapReduce, HDFS. Hive, Python, GPDB, Hbase. Java (Back-End). SQL. Linux ShellScript

# Atenção

Se você estiver vendo essa vaga em outra plataforma que não seja nosso site ou Breezy, candidate-se em https://digiage.com.br/jobs/ .",4.7,"Digiage Technologies
4.7",Campinas,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Engineer,-1,"Olá,

Estamos com oportunidades abertas no nosso time de engenheiros para trabalhar com tecnologias relacionados a Big Data.

E tudo bem se você não conhece muito do assunto.

Se conhecer ou tiver experiência no ecossistema Hadoop, melhor ainda.

Interessado? Venha conversar com a gente.

Conhecimento Desejável:

Hadoop. MapReduce, HDFS. Hive, Python, GPDB, Hbase. Java (Back-End). SQL. Linux ShellScript

# Atenção

Se você estiver vendo essa vaga em outra plataforma que não seja nosso site ou Breezy, candidate-se em https://digiage.com.br/jobs/ .",4.3,"Digiage Technologies
4.7",Campinas,-1,51 to 200 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,-1,"We are looking for an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. For example, you’ll create algorithms and conduct statistical analysis. Overall, you’ll strive for efficiency by aligning data systems with business goals. To succeed in this data engineering position, you should have strong analytical skills and the ability to combine data from different sources. Data engineer skills also include familiarity with several programming languages and knowledge of learning machine methods. If you are detail-oriented, with excellent organizational skills and experience in this field, we’d like to hear from you.

Responsibilities
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Develop analytical tools and programs
Collaborate with data scientists and architects on several projects
Requirements
Previous experience as a data engineer or in a similar role
Knowledge of programming languages (e.g. Java and Python)
Hands-on experience with SQL database design
Great numerical and analytical skills
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Advanced in English or Spanish is a plus.
Benefits
Medical and dental assistance - You don't have to worry about co-participation fees. Here our RecargaPayers have access to excellent hospitals throughout Brazil, without worrying about discounts at the end of the month.
Life insurance - Because we know that your life is worth a lot
Transportation Voucher or Parking - We discount only 1 Real from it. Cool, right?
Flexible Meal voucher - What does it mean? You can choose how you want to spend your $$ in Lunch, Market, Pharmacy, Courses, Mobility, Education ... yes, lots of possibilities.
TotalPass - Healthy mind, healthy body.
Money in your RecargaPay Wallet monthly - To pay for that one bill and still have cashback. And specially to tell us how we can improve even more.
Spanish lessons - Sí, acá trabajamos aprendiendo.
Up to 70% discount on English courses - Why not be trilingual?
Discount in Universities for Undergraduate, Graduate and MBA courses - Knowledge is never too much, is it?
No Dress-Code - Here you can be YOU!


Diversity and Authenticity at RecargaPay
We are a company formed by dream-makers. That challenges the status quo, the market, and the “always been like this” thing. That proposes the new, the different, that will, in fact, make a difference.
And we are doing it all because we are diverse. We are women, men and non-binaries, LGBTQIA + and heterosexuals, trans, cis and fluid gender. White, black, yellow and multicolored. Young, mature, with and without disabilities. And without defined patterns.
We are authentic. We are talented. Authenticity is what moves us.
That's why here at RecargaPay you are free to be who you are, every single day.
The use of your Data
The candidate, when sending the curriculum with personal and professional data to participate in RecargaPay's recruitment and selection process, is aware that the data will be used for the necessary analysis and validations throughout the recruitment process and for hiring, if necessary, as well as authorizes RecargaPay to share the curriculum data with other companies in the RecargaPay group in case opportunities arise in line with the candidate's profile.
In compliance with Law 13.709 / 18, LGPD - General Data Protection Law, the candidate may ask for the updating, rectification and modification of his information during the recruitment and selection process, or, still, request the non-use of the data under the terms applicable law.",4.0,"RecargaPay
4.0",São Paulo,-1,201 to 500 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
