Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Engineer & Developer,-1,"Descripción de la empresa

SGS del Perú, compañía de origen suizo, referente mundial en servicios de inspección, verificación, análisis y certificación de productos y servicios con presencia en más de 150 países a nivel mundial. Se encuentra en la búsqueda de un Data Engineer & Developer para el área de Data & Innovation.

Descripción del empleo
Responsable del diseño e implementación de soluciones de información (Verificar disponibilidad de información, desarrollar los scripts, seguir flujos para la puesta en producción del desarrollo realizado, pruebas de calidad de todo el proceso, verificación de resultados).
Requisitos
Información adicional",3.3,"SGS
3.3",Callao,-1,10000+ Employees,1878,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),-1
Data Engineer,-1,"Somos la consultora de tecnología que habilita la transformación digital de las organizaciones líderes de América Latina a través de soluciones basadas en la nube.

Requerimos para nuestro equipo de trabajo Data Engineer, para proyecto de 6 meses.

Requisitos
Carrera: Ingeniería de Sistemas, Ingeniería Informática o carrera afín.
Capacitación (De preferencia) : Cloud Computing, Analytics y Big Data, Transformación digital, AWS, GCP y/o Azure, etc.
Experiencia mínima de 3 años en Business Intelligence en gestión e implementación de proyectos.
Responsabilidades
Competencias",3.4,"Xertica
3.4",Lima,-1,51 to 200 Employees,-1,Contract,-1,-1,Less than $1 million (USD),-1
Data Engineer - GCP,-1,"En TiSmart estamos enteramente comprometidos con el crecimiento de nuestros clientes internos y externos, nos apasionamos conceptualizando y desarrollando soluciones innovadoras que agreguen valor sus actividades y procesos.

Contamos con un equipo multidisciplinario que nos permite Co-crear y construir soluciones tecnológicas con una perspectiva cada vez más amplia.

Te invitamos a sumar a nuestro equipo como: Data Engineer

REQUISITOS:
Conocimientos solidos de manejo de grandes volúmenes de datos en GCP, Cloud Storage, Data Flow, BigQuery, Apacha Beam
Al menos 2 años de experiencia en ingesta de datos, capacidad para diseñar, construir y administrar estructuras de datos que abarcan la transformación de datos, modelos de datos, esquemas, metadatos y gestión de la carga de trabajo.
BENEFICIOS:
Te invitamos a visitar nuestra página: http://www.tismart.com/

“Tismart mantiene una política de contratación inclusiva, por lo que invita a cualquier persona a participar en el proceso de selección en referencia”",3.6,"Tismart
3.6",Lima,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
ETL Developer,-1,"-- Main Description --We are looking for an ETL Developer to work with large data volumes read from scattered sources of information in the technology infrastructure of an organization.-- End Main Description --

-- Title One -- Technical skills -- End Title One --


-- Description One --Languages: Python
Cloud: AWS or Azure, GCP-- End Description One --

-- About You --You are someone who wants to influence your own development. You’re looking for a company where you have the opportunity to pursue your interests and be able to grow professionally.



3+ years of experience with Python
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical and analytics skills
3+ years of Agile experience
Experience with ML (Desirable)
English is a requirement, as you will be working directly with US-based clients.",4.2,"Tismart
3.6",Lima,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Backend Engineer - Latin America,-1,"Azumo is looking for a highly motivated Backend Engineer to develop and enhance high performing and scalable backend infrastructures in AI, NLP and conversational software environments.

We will only be considering candidates based in Latin America, as most of our engineers are based there.

This position will give you the opportunity to collaborate with a growing team and bright engineering minds in AI computing. You will enjoy the role if you love designing and developing scalable, high performant backend infrastructure using Golang, Java, Python, NodeJS open-source frameworks and connecting applications to modern cloud-based technologies.

Responsibilities:
Basic Qualifications:
Preferred Qualifications:
The Backend Engineer will be based remotely. Compensation commensurate with experience and candidate potential.

At Azumo we strive for excellence and strongly believe in professional and personal growth. We want each individual to be successful and pledge to help each achieve their goals while at Azumo and beyond. Challenging ourselves and learning new technologies is at the core of what we do.

Based in San Francisco, California, Azumo is an innovative software development firm helping organizations build intelligent apps using the latest technologies in AI, data and cloud. We are passionate about solving key problems for customers around the globe.

If you are qualified for the opportunity and looking for a challenge please apply online at https://azumo.workable.com or connect with us at people@azumo.co",4.1,"Azumo
4.1",Lima,-1,1 to 50 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
QA Automation Engineer,-1,"-- Main Description --We are looking for an experienced QA Automation Engineer with a keen eye for detail to design testing procedures for our customer’s software applications. Ready for the challenge? -- End Main Description --

-- Title One -- Technical skills -- End Title One --
- Description One --Knowledge of automation and agile methodology.
ISTQB certification (CFTL is a plus).
Knowledge of automation and agile methodologies (SCRUM).-- End Description One --

-- About You --You are someone who wants to influence your own development. You’re looking for a company where you have the opportunity to pursue your interests and be able to grow professionally.



Bachelor’s Degree or higher in Computer Science or Computer Engineering or related field.
2 years (minimum) as a QA analyst.
English is a requirement, as you will be working directly with US-based clients.
Proven experience developing automated test systems using Selenium and/or Appium (for mobile testing).
Analytical and Problem-Solving thinking skills.
Experience with Java, Javascript or Python development.
Experience with tools for web-based applications such as Selenium WebDriver, TestNG , Cypress, Protractor or WebDriver IO.
Knowledge in mobile testing (Appium).
Experience with any API test automation tool: Postman, REST Assured.
Working knowledge in agile testing.",4.2,"APPLAUDO STUDIOS
4.2",Villa El Salvador,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Systems Database Administrator Oracle,-1,"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Gestión de sistemas Oracle Application & Database, DB2 LUW, MySQL
Monitoreo de la plataforma Oracle Application & Database, DB2, SQL
Atención de requerimientos en plataforma Oracle Application & Database, DB2, SQL
Informar avances al responsable del equipo.

Required Technical and Professional Expertise
Preferred Technical and Professional Expertise


About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Lima,-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
"DevOps Engineer, Remote, Full Time",-1,"Are you an experienced software engineer with deep experience in building and shipping amazing products? Do you have high standards when it comes to code quality and user experiences? Are you the best developer on your team? Are you ready to work alongside the best engineers in the world for name-brand, industry leading companies? Do you want to work in a positive, uplifting work environment, for a company with a 4.5 star rating on GlassDoor? Is a competitive compensation and benefits package important to you?

Join FullStack Labs as we revolutionize the software consulting industry, and execute on our mission to rid the world of ugly, outdated, buggy software.

As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals in one of two ways: 1) Team Augmentation: You will integrate yourself directly into our client’s team and work alongside their existing engineers on a daily basis. 2) Design & Build: You will work on a FullStack Labs development team to build and ship greenfield applications for our clients.",4.4,"FullStack Labs
4.4",Iquitos,-1,51 to 200 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Software Engineer Perú,-1,"ABOUT US

VTEX is the only multitenant commerce platform capable of unifying experiences in all sales channels. With a robust solution, scalable cloud infrastructure and powerful tooling, our platform accelerates the transformation of complex operations.

More than 3400 renowned companies of varying sizes and segments, with operations in 43 countries and in global expansion, have in VTEX the solution for the online sale of their products, among them major names such as Sony, Motorola, Walmart, Whirlpool, Coca-Cola, Stanley Black & Decker, and Nestlé.

OUR CULTURE

TRUST TO BE TRUSTED: We trust each other without reservations and delegate our responsibilties continuously. To be trustworthy you need honesty, transparency and consistency in quality and performance. This bond is built upon exchange: trust to be trusted.",4.6,"VTEX
4.6",Lima,-1,501 to 1000 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Frontend Engineer - Latin America,-1,"Azumo is currently looking for a highly motivated JavaScript Engineer to develop web and mobile front-ends and other analytics solutions.

We will only be considering candidates based in Latin America, as most of our engineers are based there.

This position will give you the opportunity to collaborate with bright engineering minds in SaaS, big data computing, and ML/AI. As a key engineer in the web team, you should excel with minimal technical supervision, embrace time constraints, and work with team members to deliver high quality products and features. You will enjoy the role if you love delivering well-factored and tested JavaScript applications. You will have significant experience working in Angular, React, Native, Vue or Ember.

Responsibilities:
Basic Qualifications:
Preferred Qualifications:
The JavaScript Engineer will work remotely but must be based in. Compensation commensurate with experience and candidate potential.

At Azumo we strive for excellence and strongly believe in professional and personal growth. We want each individual to be successful and pledge to help each achieve their goals while at Azumo and beyond. Challenging ourselves and learning new technologies is at the core of what we do.

Based in San Francisco, California, Azumo is an innovative software development firm helping organizations make insightful decisions using the latest technologies in data, cloud and mobility. We combine expertise to help companies of all sizes build intelligent applications.

If you are qualified for the opportunity and looking for a challenge please apply online at https://azumo.workable.com or connect with us at people@azumo.co



Company benefits include:
At Azumo we strive for excellence and strongly believe in professional and personal growth. We want each individual to be successful and pledge to help you achieve your goals while at Azumo and beyond. Challenging ourselves and learning new technologies is at the core of what we do.

Based in San Francisco, California, Azumo is an innovative software development firm helping organizations build intelligent apps using the latest technologies in AI, data and cloud. We are passionate about solving key problems for customers around the globe.",4.1,"Azumo
4.1",Lurín District,-1,1 to 50 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
